Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Variant Image,Variant All Images,Image Src,Image Position,Image Alt Text,Gift Card,Status,Google Shopping / Google Product Category,Google Shopping / Gender,Cost per item
womens-restored-hitch-backpack,Restored Hitch Backpack,"<p>Discover the iconic Coach Restored Hitch Backpack women's handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Restored Hitch Backpack represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CBV26,,shopify,100,deny,manual,79671.0,99589.0,,,,,,https://coach.scene7.com/is/image/Coach/cbv26_blk_a0?$desktopProduct$,1,,,active,,women,63737.18
womens-restored-hitch-backpack,,,,,,,,Title,Default Title,,,CV811,,shopify,100,deny,manual,72961.0,91201.0,,,,,,https://coach.scene7.com/is/image/Coach/cv811_rft_a0?$desktopProduct$,2,,,,,,58368.72
womens-restored-hitch-backpack,,,,,,,,Title,Default Title,,,CFI94,,shopify,100,deny,manual,72961.0,91201.0,,,,,,https://coach.scene7.com/is/image/Coach/cfi94_ary_a0?$desktopProduct$,3,,,,,,58368.72
womens-restored-hitch-backpack,,,,,,,,Title,Default Title,,,CGH74,,shopify,100,deny,manual,68935.0,86169.0,,,,,,https://coach.scene7.com/is/image/Coach/cgh74_xa8_a0?$desktopProduct$,4,,,,,,55147.65
womens-restored-hitch-backpack,,,,,,,,Title,Default Title,,,CG231,,shopify,100,deny,manual,76316.0,95395.0,,,,,,https://coach.scene7.com/is/image/Coach/cg231_jiblk_a0?$desktopProduct$,5,,,,,,61052.95
womens-crystal-motif-chain-bag-charm,Crystal Motif Chain Bag Charm,"<p>Discover the iconic Coach Crystal Motif Chain Bag Charm women's handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Crystal Motif Chain Bag Charm represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CCX41,,shopify,100,deny,manual,15586.0,19482.0,,,,,,https://coach.scene7.com/is/image/Coach/ccx41_b4l38_a0?$desktopProduct$,1,,,active,,women,12468.48
womens-crystal-motif-chain-bag-charm,,,,,,,,Title,Default Title,,,CCX42,,shopify,100,deny,manual,15586.0,19482.0,,,,,,https://coach.scene7.com/is/image/Coach/ccx42_lhl38_a0?$desktopProduct$,2,,,,,,12468.48
restored-tabby-shoulder-bag-26-with-quilting-and-tie-dye-CGF31,Restored Tabby Shoulder Bag 26 With Quilting And Tie-Dye,"<p>Discover the iconic Coach Restored Tabby Shoulder Bag 26 With Quilting And Tie-Dye women's handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Restored Tabby Shoulder Bag 26 With Quilting And Tie-Dye represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CGF31,,shopify,100,deny,manual,72961.0,91201.0,,,,,,https://coach.scene7.com/is/image/Coach/cgf31_lhni9_a0?$desktopProduct$,1,,,active,,women,58368.72
kitt-watch-21-mm-CEU59,"Kitt Watch, 21 Mm","<p>Discover the iconic Coach Kitt Watch, 21 Mm handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Kitt Watch, 21 Mm represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, men, mens-accessories, unisex, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CEU59,,shopify,100,deny,manual,42092.0,52615.0,,,,,,https://coach.scene7.com/is/image/Coach/ceu59_wht_a0?$desktopProduct$,1,,,active,,unisex,33673.85
womens-reloved-pillow-madison-shoulder-bag-with-quilting,Reloved Pillow Madison Shoulder Bag With Quilting,"<p>Discover the iconic Coach Reloved Pillow Madison Shoulder Bag With Quilting women's handbag, exclusively curated by The Mirage. A masterpiece of artisanal craftsmanship, this piece embodies the iconic New York heritage and artisanal spirit that define Coach's legacy.</p><p><strong>Key Features &amp; Characteristics:</strong></p><ul><li>Expertly crafted Handbag from Coach's premium material selection</li><li>Considered interior design for everyday practicality</li><li>Coach's iconic hardware and finishing details</li><li>Coach's signature craftsmanship throughout</li></ul><p>Crafted with the precision expected from Coach's New York heritage, the Reloved Pillow Madison Shoulder Bag With Quilting represents more than a handbag — it's a statement in considered style. The premium leather craftsmanship and iconic hardware showcase Coach's commitment to artisanal excellence without compromise. Whether elevating everyday looks or special occasions, this handbag delivers the quality and character that those who appreciate considered craftsmanship and iconic New York design demand. At The Mirage, we celebrate pieces that transcend trends. This Coach creation is a testament to purposeful design and uncompromising quality, making it an essential addition to any discerning wardrobe.</p><p><em>Exclusively curated for Mirage Retail Collective.</em></p>",Coach,,Handbag,"RudraScrapper-coach, accessories, coach, handbag, women, womens-handbags, womens-shoulderbags",TRUE,Title,Default Title,,,CGK39,,shopify,100,deny,manual,86382.0,107978.0,,,,,,https://coach.scene7.com/is/image/Coach/cgu92_v5doy_a0?$desktopProduct$,1,,,active,,women,69105.62
womens-reloved-pillow-madison-shoulder-bag-with-quilting,,,,,,,,Title,Default Title,,,CGY18,,shopify,100,deny,manual,95777.0,119721.0,,,,,,https://coach.scene7.com/is/image/Coach/cgu92_v5doy_a0?$desktopProduct$,2,,,,,,76621.46
womens-reloved-pillow-madison-shoulder-bag-with-quilting,,,,,,,,Title,Default Title,,,CGU92,,shopify,100,deny,manual,95777.0,119721.0,,,,,,,,,,,,,76621.46
womens-reloved-pillow-madison-shoulder-bag-with-quilting,,,,,,,,Title,Default Title,,,CGZ25,,shopify,100,deny,manual,103158.0,128948.0,,,,,,https://coach.scene7.com/is/image/Coach/cgu92_v5doy_a0?$desktopProduct$,3,,,,,,82526.75
